fymon,number,percent
2000-10,1617,33.7156
2000-11,1513,34.5513
2000-12,1454,36.5786
2001-01,1591,37.4177
2001-02,1449,34.4508
2001-03,1886,35.6454
2001-04,1939,37.3100
2001-05,1982,34.6807
2001-06,1927,34.1122
2001-07,1757,34.9721
2001-08,2356,34.5809
2001-09,1457,35.5106
2001-10,1834,34.2612
2001-11,1868,34.6954
2001-12,1906,34.8765
2002-01,1989,33.4398
2002-02,1917,35.6718
2002-03,2143,33.5053
2002-04,2120,34.9720
2002-05,2009,33.3610
2002-06,1906,34.2252
2002-07,2093,32.3243
2002-08,1983,32.8148
2002-09,1809,34.2354
2002-10,2177,35.7002
2002-11,1719,34.6922
2002-12,1701,35.7353
2003-01,1805,34.8995
2003-02,1489,35.3262
2003-03,1741,35.8378
2003-04,2010,35.3686
2003-05,1865,35.5712
2003-06,1809,35.0717
2003-07,1787,34.3786
2003-08,1678,34.7340
2003-09,1563,34.7642
2003-10,1583,32.9792
2003-11,1368,34.5804
2003-12,1491,34.3153
2004-01,1468,34.3151
2004-02,1351,33.4903
2004-03,1557,35.3783
2004-04,1308,33.1811
2004-05,1384,35.4327
2004-06,1422,34.6322
2004-07,1487,33.1476
2004-08,1623,36.4228
2004-09,1462,37.8364
2004-10,1498,36.5366
2004-11,1368,36.9630
2004-12,1283,36.6991
2005-01,1518,39.9264
2005-02,1140,37.5247
2005-03,1631,38.7503
2005-04,1408,38.7772
2005-05,1503,40.2733
2005-06,1618,39.0162
2005-07,1231,38.3370
2005-08,1565,36.1182
2005-09,1368,35.5787
2005-10,1380,35.3574
2005-11,1292,38.9744
2005-12,1251,36.6647
2006-01,1355,39.9469
2006-02,1354,39.0539
2006-03,1674,40.8991
2006-04,1429,37.4476
2006-05,1573,39.5922
2006-06,1593,37.4471
2006-07,1329,35.0382
2006-08,1366,31.8489
2006-09,1573,30.2966
2006-10,1802,36.1920
2006-11,1657,38.3742
2006-12,1216,38.0714
2007-01,1445,36.9754
2007-02,1239,36.0070
2007-03,1499,35.3038
2007-04,1443,34.2918
2007-05,1517,35.7783
2007-06,1524,36.8027
2007-07,1505,39.0503
2007-08,1568,36.0377
2007-09,1530,37.8058
2007-10,1646,36.9721
2007-11,1110,40.0722
2007-12,1013,41.5675
2008-01,1331,43.2846
2008-02,1325,43.9761
2008-03,1512,43.1630
2008-04,1655,42.3924
2008-05,1470,40.1310
2008-06,1555,43.9390
2008-07,1611,41.9969
2008-08,1510,42.2614
2008-09,1543,41.0700
2008-10,1753,43.7157
2008-11,1112,41.6323
2008-12,1111,40.5474
2009-01,1157,41.8445
2009-02,1219,41.9621
2009-03,1411,43.7248
2009-04,1201,41.4853
2009-05,1263,43.7175
2009-06,1413,45.0000
2009-07,1671,48.7030
2009-08,1264,45.0463
2009-09,1565,47.6408
2009-10,1133,43.2443
2009-11,1096,46.7976
2009-12,1238,48.0590
2010-01,1149,46.1817
2010-02,1147,46.0273
2010-03,1687,49.2987
2010-04,1205,42.7457
2010-05,1188,43.9837
2010-06,1323,44.8931
2010-07,1467,48.1299
2010-08,1577,47.9331
2010-09,1275,44.6272
2010-10,1346,44.4959
2010-11,1047,39.4053
2010-12,1389,46.2383
2011-01,1521,44.5649
2011-02,1270,39.5515
2011-03,1720,41.6163
2011-04,1552,41.7316
2011-05,1494,40.3348
2011-06,1595,40.5131
2011-07,1338,41.5657
2011-08,1611,38.9130
2011-09,1551,39.5361
2011-10,1436,39.6357
2011-11,1246,39.0229
2011-12,1263,38.7067
2012-01,1439,37.9784
2012-02,1386,36.5699
2012-03,1553,37.3048
2012-04,1469,36.4788
2012-05,1506,33.6612
2012-06,1246,34.2214
2012-07,1330,37.4753
2012-08,1513,34.0689
2012-09,1298,35.7280
2012-10,1400,34.5168
2012-11,1080,33.6868
2012-12,905,29.4309
2013-01,1344,32.3232
2013-02,1208,32.8618
2013-03,1097,31.3518
2013-04,1236,30.6472
2013-05,1242,29.9638
