fymon,number,percent
2000-10,225,4.6914
2000-11,249,5.6862
2000-12,183,4.6038
2001-01,176,4.1392
2001-02,193,4.5887
2001-03,223,4.2147
2001-04,209,4.0216
2001-05,209,3.6570
2001-06,199,3.5227
2001-07,182,3.6226
2001-08,222,3.2585
2001-09,160,3.8996
2001-10,215,4.0164
2001-11,212,3.9376
2001-12,205,3.7511
2002-01,204,3.4297
2002-02,197,3.6658
2002-03,206,3.2208
2002-04,149,2.4579
2002-05,184,3.0555
2002-06,158,2.8371
2002-07,221,3.4131
2002-08,165,2.7304
2002-09,189,3.5768
2002-10,199,3.2634
2002-11,129,2.6034
2002-12,145,3.0462
2003-01,184,3.5576
2003-02,151,3.5824
2003-03,171,3.5200
2003-04,183,3.2201
2003-05,171,3.2615
2003-06,271,5.2540
2003-07,217,4.1747
2003-08,204,4.2227
2003-09,160,3.5587
2003-10,197,4.1042
2003-11,153,3.8675
2003-12,178,4.0967
2004-01,219,5.1192
2004-02,222,5.5032
2004-03,160,3.6355
2004-04,181,4.5916
2004-05,149,3.8146
2004-06,171,4.1646
2004-07,144,3.2100
2004-08,219,4.9147
2004-09,140,3.6232
2004-10,166,4.0488
2004-11,242,6.5388
2004-12,142,4.0618
2005-01,160,4.2083
2005-02,127,4.1804
2005-03,158,3.7539
2005-04,131,3.6078
2005-05,169,4.5284
2005-06,236,5.6909
2005-07,182,5.6680
2005-08,312,7.2006
2005-09,192,4.9935
2005-10,185,4.7399
2005-11,219,6.6063
2005-12,178,5.2169
2006-01,212,6.2500
2006-02,211,6.0860
2006-03,244,5.9614
2006-04,220,5.7652
2006-05,194,4.8830
2006-06,254,5.9709
2006-07,206,5.4311
2006-08,282,6.5750
2006-09,440,8.4746
2006-10,413,8.2948
2006-11,351,8.1288
2006-12,223,6.9818
2007-01,255,6.5251
2007-02,321,9.3287
2007-03,349,8.2195
2007-04,306,7.2719
2007-05,398,9.3868
2007-06,334,8.0657
2007-07,288,7.4728
2007-08,418,9.6070
2007-09,344,8.5001
2007-10,322,7.2327
2007-11,209,7.5451
2007-12,168,6.8937
2008-01,179,5.8211
2008-02,196,6.5051
2008-03,240,6.8513
2008-04,233,5.9682
2008-05,273,7.4529
2008-06,224,6.3295
2008-07,293,7.6382
2008-08,284,7.9485
2008-09,253,6.7341
2008-10,247,6.1596
2008-11,166,6.2149
2008-12,207,7.5547
2009-01,203,7.3418
2009-02,231,7.9518
2009-03,203,6.2907
2009-04,186,6.4249
2009-05,174,6.0228
2009-06,251,7.9936
2009-07,202,5.8875
2009-08,197,7.0207
2009-09,216,6.5753
2009-10,170,6.4885
2009-11,143,6.1059
2009-12,173,6.7158
2010-01,164,6.5916
2010-02,174,6.9823
2010-03,179,5.2309
2010-04,179,6.3498
2010-05,168,6.2199
2010-06,187,6.3454
2010-07,167,5.4790
2010-08,199,6.0486
2010-09,244,8.5404
2010-10,214,7.0744
2010-11,234,8.8069
2010-12,167,5.5593
2011-01,257,7.5300
2011-02,266,8.2840
2011-03,295,7.1377
2011-04,277,7.4482
2011-05,304,8.2073
2011-06,305,7.7470
2011-07,229,7.1140
2011-08,357,8.6232
2011-09,315,8.0296
2011-10,312,8.6116
2011-11,281,8.8005
2011-12,257,7.8762
2012-01,311,8.2080
2012-02,300,7.9156
2012-03,380,9.1280
2012-04,369,9.1631
2012-05,428,9.5664
2012-06,339,9.3106
2012-07,299,8.4249
2012-08,477,10.7408
2012-09,386,10.6248
2012-10,432,10.6509
2012-11,317,9.8877
2012-12,325,10.5691
2013-01,456,10.9668
2013-02,397,10.7998
2013-03,352,10.0600
2013-04,369,9.1495
2013-05,417,10.0603
2013-06,367,9.0999
2013-07,302,9.5088
2013-08,370,10.1287
2013-09,358,9.3011
2013-10,240,7.7096
2013-11,338,9.8142
2013-12,314,9.3592
2014-01,333,9.1133
2014-02,322,8.9794
2014-03,391,9.6974
2014-04,404,10.5926
2014-05,345,10.5376
2014-06,484,9.8735
2014-07,454,8.3702
2014-08,404,8.9361
2014-09,489,9.0757
2014-10,545,9.8340
2014-11,502,9.5401
2014-12,414,8.5643
2015-01,479,10.0230
2015-02,392,8.0609
2015-03,419,8.0732
2015-04,499,8.7192
2015-05,482,9.6516
2015-06,556,9.2883
2015-07,593,9.9430
2015-08,454,8.5904
2015-09,575,9.2118
2015-10,677,10.8061
2015-11,475,9.5095
2015-12,481,8.9856
2016-01,503,9.5301
2016-02,683,11.2133
2016-03,693,9.4286
2016-04,666,9.6508
2016-05,716,9.3631
2016-06,808,9.4936
2016-07,700,9.5681
2016-08,824,10.1490
2016-09,1021,10.1159
2016-10,1134,10.7285
2016-11,1177,10.5400
2016-12,993,10.1254
2017-01,982,10.0491
2017-02,1011,9.8480
2017-03,1217,9.6818
2017-04,1148,9.6771
2017-05,1353,9.2652
2017-06,1463,10.3943
2017-07,1331,10.3218
2017-08,1655,10.6410
2017-09,1613,11.9570
2017-10,1844,11.6209
2017-11,1641,11.1671
2017-12,1438,10.6165
2018-01,1367,10.6464
2018-02,1354,11.6523
2018-03,1569,12.1440
2018-04,1495,11.3939
2018-05,1772,12.2291
2018-06,1790,12.9767
2018-07,1675,12.7551
2018-08,1986,12.3018
2018-09,1772,12.4569
2018-10,2448,13.0783
2018-11,1982,12.7566
2018-12,1599,12.4883
2019-01,1208,10.2782
2019-02,2229,11.6403
2019-03,2252,12.1166
2019-04,2558,12.0133
2019-05,2402,11.4967
2019-06,2010,11.2852
2019-07,2158,10.7781
2019-08,2333,10.9238
2019-09,2006,10.5507
2019-10,2414,10.0655
2019-11,2335,11.6738
2019-12,2189,11.3121
2020-01,2583,11.4958
2020-02,2675,11.7325
2020-03,2038,10.8722
2020-04,1115,10.2850
2020-05,1290,9.9453
2020-06,1172,9.0726
2020-07,1131,9.1077
2020-08,1335,9.7817
2020-09,770,10.0169
2020-10,765,9.7254
2020-11,761,10.7943
2020-12,739,10.5376
2021-01,873,10.9867
2021-02,664,9.9134
2021-03,851,9.2661
2021-04,641,8.6986
2021-05,611,8.8423
2021-06,552,7.0381
2021-07,548,6.9018
2021-08,570,7.2974
2021-09,576,6.7765
2021-10,532,5.9144
2021-11,619,6.0115
2021-12,651,5.7934
2022-01,679,5.8778
2022-02,724,5.1556
2022-03,1086,4.8439
2022-04,1443,4.9053
2022-05,874,3.3537
2022-06,721,2.4672
2022-07,484,1.6607
2022-08,421,1.2516
2022-09,277,0.9168
2022-10,216,0.7015
2022-11,123,0.4409
