fymon,total,pending,removal,granted,other_closure,terminate,volunt_depart,pros_discretion
2021-10,8995,6992,903,388,532,136,37,7
2021-11,10297,7673,1209,623,619,126,31,16
2021-12,11237,8469,1280,646,651,122,64,5
2022-01,11552,8824,1232,615,679,140,37,25
2022-02,14043,11114,1326,705,724,109,53,12
2022-03,22420,18409,1867,764,1086,221,62,11
2022-04,29417,25073,1779,782,1443,242,81,17
2022-05,26061,22471,1953,557,874,116,79,11
2022-06,29223,26165,1680,437,721,124,83,13
2022-07,29145,26861,1354,332,484,60,48,6
2022-08,33637,31863,980,214,421,85,68,6
2022-09,30214,29035,671,103,277,73,51,4
