fymon,number,percent
2000-10,21,0.4379
2000-11,23,0.5252
2000-12,20,0.5031
2001-01,18,0.4233
2001-02,12,0.2853
2001-03,21,0.3969
2001-04,35,0.6735
2001-05,16,0.2800
2001-06,13,0.2301
2001-07,8,0.1592
2001-08,34,0.4990
2001-09,9,0.2194
2001-10,15,0.2802
2001-11,26,0.4829
2001-12,18,0.3294
2002-01,20,0.3362
2002-02,15,0.2791
2002-03,17,0.2658
2002-04,24,0.3959
2002-05,14,0.2325
2002-06,34,0.6105
2002-07,25,0.3861
2002-08,19,0.3144
2002-09,17,0.3217
2002-10,27,0.4428
2002-11,17,0.3431
2002-12,15,0.3151
2003-01,23,0.4447
2003-02,17,0.4033
2003-03,27,0.5558
2003-04,24,0.4223
2003-05,25,0.4768
2003-06,31,0.6010
2003-07,22,0.4232
2003-08,18,0.3726
2003-09,22,0.4893
2003-10,24,0.5000
2003-11,15,0.3792
2003-12,29,0.6674
2004-01,22,0.5143
2004-02,14,0.3471
2004-03,28,0.6362
2004-04,24,0.6088
2004-05,24,0.6144
2004-06,21,0.5114
2004-07,36,0.8025
2004-08,26,0.5835
2004-09,29,0.7505
2004-10,25,0.6098
2004-11,21,0.5674
2004-12,8,0.2288
2005-01,22,0.5786
2005-02,10,0.3292
2005-03,30,0.7128
2005-04,25,0.6885
2005-05,29,0.7771
2005-06,23,0.5546
2005-07,24,0.7474
2005-08,21,0.4847
2005-09,33,0.8583
2005-10,17,0.4356
2005-11,16,0.4827
2005-12,26,0.7620
2006-01,33,0.9729
2006-02,31,0.8941
2006-03,30,0.7330
2006-04,29,0.7600
2006-05,33,0.8306
2006-06,31,0.7287
2006-07,35,0.9228
2006-08,31,0.7228
2006-09,39,0.7512
2006-10,45,0.9038
2006-11,36,0.8337
2006-12,33,1.0332
2007-01,50,1.2794
2007-02,49,1.4240
2007-03,38,0.8950
2007-04,63,1.4971
2007-05,42,0.9906
2007-06,42,1.0142
2007-07,50,1.2974
2007-08,61,1.4020
2007-09,44,1.0872
2007-10,43,0.9659
2007-11,33,1.1913
2007-12,23,0.9438
2008-01,48,1.5610
2008-02,45,1.4935
2008-03,49,1.3988
2008-04,43,1.1014
2008-05,50,1.3650
2008-06,52,1.4693
2008-07,43,1.1210
2008-08,57,1.5953
2008-09,61,1.6236
2008-10,57,1.4214
2008-11,22,0.8237
2008-12,46,1.6788
2009-01,57,2.0615
2009-02,50,1.7212
2009-03,51,1.5804
2009-04,59,2.0380
2009-05,35,1.2115
2009-06,57,1.8153
2009-07,72,2.0985
2009-08,59,2.1026
2009-09,66,2.0091
2009-10,49,1.8702
2009-11,44,1.8787
2009-12,44,1.7081
2010-01,63,2.5322
2010-02,61,2.4478
2010-03,95,2.7762
2010-04,76,2.6960
2010-05,88,3.2581
2010-06,109,3.6987
