fymon,number,percent
2000-10,15,0.3128
2000-11,7,0.1599
2000-12,15,0.3774
2001-01,5,0.1176
2001-02,19,0.4517
2001-03,29,0.5481
2001-04,13,0.2501
2001-05,21,0.3675
2001-06,20,0.3540
2001-07,23,0.4578
2001-08,37,0.5431
2001-09,15,0.3656
2001-10,23,0.4297
2001-11,26,0.4829
2001-12,27,0.4941
2002-01,26,0.4371
2002-02,21,0.3908
2002-03,43,0.6723
2002-04,31,0.5114
2002-05,48,0.7971
2002-06,34,0.6105
2002-07,46,0.7104
2002-08,42,0.6950
2002-09,18,0.3407
2002-10,25,0.4100
2002-11,29,0.5853
2002-12,20,0.4202
2003-01,24,0.4640
2003-02,20,0.4745
2003-03,26,0.5352
2003-04,29,0.5103
2003-05,28,0.5340
2003-06,24,0.4653
2003-07,28,0.5387
2003-08,35,0.7245
2003-09,23,0.5116
2003-10,12,0.2500
2003-11,18,0.4550
2003-12,24,0.5524
2004-01,26,0.6078
2004-02,18,0.4462
2004-03,26,0.5908
2004-04,18,0.4566
2004-05,21,0.5376
2004-06,21,0.5114
2004-07,24,0.5350
2004-08,29,0.6508
2004-09,22,0.5694
2004-10,19,0.4634
2004-11,28,0.7566
2004-12,13,0.3719
2005-01,17,0.4471
2005-02,13,0.4279
2005-03,23,0.5464
2005-04,19,0.5233
2005-05,17,0.4555
2005-06,36,0.8681
2005-07,17,0.5294
2005-08,34,0.7847
2005-09,26,0.6762
2005-10,32,0.8199
2005-11,33,0.9955
2005-12,24,0.7034
2006-01,36,1.0613
2006-02,30,0.8653
2006-03,31,0.7574
2006-04,46,1.2055
2006-05,44,1.1075
2006-06,33,0.7757
2006-07,29,0.7646
2006-08,27,0.6295
2006-09,73,1.4060
2006-10,109,2.1892
2006-11,128,2.9643
2006-12,65,2.0351
2007-01,81,2.0727
2007-02,67,1.9471
2007-03,70,1.6486
2007-04,113,2.6854
2007-05,159,3.7500
2007-06,119,2.8737
2007-07,175,4.5407
2007-08,153,3.5164
2007-09,138,3.4099
2007-10,146,3.2794
2007-11,100,3.6101
2007-12,94,3.8572
2008-01,95,3.0894
2008-02,115,3.8168
2008-03,118,3.3685
2008-04,144,3.6885
2008-05,164,4.4772
2008-06,135,3.8146
2008-07,143,3.7278
2008-08,122,3.4145
2008-09,135,3.5933
2008-10,151,3.7656
2008-11,115,4.3055
2008-12,107,3.9051
2009-01,106,3.8336
2009-02,131,4.5095
2009-03,135,4.1835
2009-04,111,3.8342
2009-05,136,4.7075
2009-06,96,3.0573
2009-07,133,3.8764
2009-08,123,4.3835
2009-09,185,5.6317
2009-10,119,4.5420
2009-11,107,4.5687
2009-12,127,4.9301
2010-01,117,4.7026
2010-02,138,5.5377
2010-03,142,4.1496
2010-04,186,6.5981
2010-05,141,5.2203
2010-06,195,6.6169
2010-07,185,6.0696
2010-08,205,6.2310
2010-09,203,7.1054
2010-10,207,6.8430
2010-11,224,8.4306
2010-12,213,7.0905
2011-01,243,7.1198
2011-02,247,7.6923
2011-03,285,6.8957
2011-04,324,8.7120
2011-05,310,8.3693
