fymon,number,percent
2000-10,1932,40.2836
2000-11,1821,41.5848
2000-12,1589,39.9748
2001-01,1744,41.0160
2001-02,1731,41.1555
2001-03,2021,38.1969
2001-04,2002,38.5222
2001-05,2185,38.2327
2001-06,1902,33.6697
2001-07,1890,37.6194
2001-08,2256,33.1132
2001-09,1474,35.9249
2001-10,2192,40.9490
2001-11,2057,38.2058
2001-12,2036,37.2553
2002-01,2264,38.0632
2002-02,2241,41.7008
2002-03,2441,38.1645
2002-04,2316,38.2052
2002-05,2298,38.1601
2002-06,1890,33.9379
2002-07,2459,37.9768
2002-08,2215,36.6540
2002-09,2067,39.1181
2002-10,2256,36.9957
2002-11,1956,39.4753
2002-12,1883,39.5588
2003-01,2041,39.4625
2003-02,1706,40.4745
2003-03,1936,39.8518
2003-04,2260,39.7677
2003-05,2030,38.7183
2003-06,1959,37.9798
2003-07,1972,37.9377
2003-08,1812,37.5078
2003-09,1741,38.7233
2003-10,1968,41.0000
2003-11,1538,38.8777
2003-12,1730,39.8159
2004-01,1641,38.3590
2004-02,1598,39.6133
2004-03,1710,38.8548
2004-04,1546,39.2187
2004-05,1494,38.2488
2004-06,1628,39.6493
2004-07,1871,41.7075
2004-08,1623,36.4228
2004-09,1457,37.7070
2004-10,1559,38.0244
2004-11,1330,35.9362
2004-12,1403,40.1316
2005-01,1426,37.5066
2005-02,1199,39.4668
2005-03,1578,37.4911
2005-04,1377,37.9234
2005-05,1317,35.2894
2005-06,1453,35.0374
2005-07,1149,35.7832
2005-08,1542,35.5874
2005-09,1375,35.7607
2005-10,1347,34.5119
2005-11,1145,34.5400
2005-12,1277,37.4267
2006-01,1207,35.5837
2006-02,1261,36.3715
2006-03,1421,34.7178
2006-04,1323,34.6698
2006-05,1356,34.1304
2006-06,1447,34.0150
2006-07,1399,36.8837
2006-08,1434,33.4344
2006-09,1662,32.0108
2006-10,1551,31.1508
2006-11,1353,31.3340
2006-12,1103,34.5335
2007-01,1275,32.6254
2007-02,1143,33.2171
2007-03,1507,35.4922
2007-04,1383,32.8660
2007-05,1325,31.2500
2007-06,1356,32.7457
2007-07,1174,30.4619
2007-08,1335,30.6826
2007-09,1211,29.9234
2007-10,1445,32.4573
2007-11,847,30.5776
2007-12,721,29.5856
2008-01,873,28.3902
2008-02,807,26.7839
2008-03,1016,29.0037
2008-04,1165,29.8412
2008-05,1062,28.9926
2008-06,964,27.2393
2008-07,1092,28.4672
2008-08,1027,28.7434
2008-09,1172,31.1951
2008-10,1108,27.6309
2008-11,793,29.6893
2008-12,816,29.7810
2009-01,819,29.6203
2009-02,776,26.7126
2009-03,871,26.9910
2009-04,809,27.9447
2009-05,796,27.5528
2009-06,760,24.2038
2009-07,820,23.8997
2009-08,673,23.9843
2009-09,761,23.1659
2009-10,718,27.4046
2009-11,581,24.8079
2009-12,603,23.4084
2010-01,595,23.9148
2010-02,560,22.4719
2010-03,777,22.7060
2010-04,710,25.1862
2010-05,680,25.1759
2010-06,645,21.8867
2010-07,668,21.9160
2010-08,729,22.1581
2010-09,624,21.8411
2010-10,705,23.3058
2010-11,638,24.0120
2010-12,678,22.5699
2011-01,779,22.8245
2011-02,752,23.4195
2011-03,1019,24.6552
2011-04,865,23.2589
2011-05,887,23.9471
2011-06,891,22.6314
2011-07,698,21.6838
2011-08,896,21.6425
2011-09,887,22.6102
2011-10,783,21.6119
2011-11,754,23.6142
2011-12,728,22.3108
2012-01,881,23.2515
2012-02,888,23.4301
2012-03,916,22.0034
2012-04,866,21.5048
2012-05,995,22.2396
2012-06,812,22.3016
2012-07,713,20.0902
2012-08,940,21.1664
2012-09,730,20.0936
2012-10,899,22.1647
2012-11,729,22.7386
2012-12,731,23.7724
2013-01,917,22.0539
2013-02,819,22.2797
2013-03,796,22.7494
2013-04,979,24.2747
2013-05,1059,25.5489
2013-06,1015,25.1674
2013-07,870,27.3929
2013-08,988,27.0463
2013-09,1066,27.6955
2013-10,936,30.0675
2013-11,957,27.7875
2013-12,957,28.5246
2014-01,1063,29.0914
2014-02,1020,28.4439
2014-03,1117,27.7034
2014-04,1155,30.2832
2014-05,995,30.3910
2014-06,1273,25.9690
2014-07,1450,26.7330
2014-08,1269,28.0690
2014-09,1447,26.8560
2014-10,1594,28.7622
2014-11,1408,26.7579
2014-12,1510,31.2371
2015-01,1440,30.1318
2015-02,1502,30.8863
2015-03,1761,33.9306
2015-04,1992,34.8069
2015-05,1764,35.3224
2015-06,1974,32.9769
2015-07,1872,31.3883
2015-08,1654,31.2961
2015-09,2171,34.7805
2015-10,2101,33.5355
2015-11,1787,35.7758
2015-12,1909,35.6622
2016-01,1863,35.2975
2016-02,2053,33.7055
2016-03,2614,35.5646
2016-04,2384,34.5457
2016-05,2720,35.5695
2016-06,3363,39.5136
2016-07,2832,38.7097
2016-08,3165,38.9826
2016-09,3624,35.9061
2016-10,3864,36.5563
2016-11,3968,35.5333
2016-12,3530,35.9947
2017-01,3552,36.3488
2017-02,3613,35.1938
2017-03,4381,34.8528
2017-04,3935,33.1704
2017-05,4765,32.6303
2017-06,4585,32.5755
2017-07,4049,31.3998
2017-08,4422,28.4318
2017-09,3580,26.5382
2017-10,4306,27.1364
2017-11,3892,26.4852
2017-12,3426,25.2935
2018-01,3059,23.8240
2018-02,2800,24.0964
2018-03,2977,23.0418
2018-04,3037,23.1461
2018-05,3167,21.8565
2018-06,2563,18.5805
2018-07,2632,20.0426
2018-08,3235,20.0384
2018-09,2587,18.1863
2018-10,3490,18.6452
2018-11,2916,18.7681
2018-12,2547,19.8922
2019-01,2443,20.7862
2019-02,3641,19.0140
2019-03,3925,21.1180
2019-04,4466,20.9740
2019-05,4959,23.7352
2019-06,4165,23.3844
2019-07,4528,22.6151
2019-08,4717,22.0864
2019-09,4429,23.2946
2019-10,5369,22.3867
2019-11,3840,19.1981
2019-12,3411,17.6270
2020-01,3473,15.4569
2020-02,2599,11.3991
2020-03,1773,9.4585
2020-04,895,8.2557
2020-05,791,6.0982
2020-06,757,5.8600
2020-07,652,5.2504
2020-08,692,5.0703
2020-09,522,6.7907
2020-10,517,6.5726
2020-11,422,5.9858
2020-12,468,6.6733
2021-01,422,5.3108
2021-02,424,6.3302
2021-03,491,5.3463
2021-04,389,5.2789
2021-05,365,5.2822
2021-06,392,4.9981
2021-07,377,4.7481
2021-08,415,5.3130
2021-09,651,7.6588
2021-10,903,10.0389
2021-11,1209,11.7413
2021-12,1280,11.3909
2022-01,1232,10.6648
2022-02,1326,9.4424
2022-03,1867,8.3274
2022-04,1779,6.0475
2022-05,1953,7.4940
2022-06,1680,5.7489
2022-07,1354,4.6457
2022-08,980,2.9135
2022-09,671,2.2208
2022-10,337,1.0945
2022-11,85,0.3047
