fymon,number,percent
2000-10,636,13.2611
2000-11,489,11.1669
2000-12,433,10.8931
2001-01,458,10.7714
2001-02,510,12.1255
2001-03,776,14.6664
2001-04,676,13.0075
2001-05,937,16.3955
2001-06,1258,22.2694
2001-07,837,16.6600
2001-08,1562,22.9268
2001-09,747,18.2062
2001-10,776,14.4965
2001-11,851,15.8061
2001-12,934,17.0906
2002-01,1054,17.7202
2002-02,640,11.9092
2002-03,1076,16.8230
2002-04,1001,16.5127
2002-05,1048,17.4029
2002-06,1195,21.4581
2002-07,1272,19.6448
2002-08,1205,19.9404
2002-09,807,15.2725
2002-10,1032,16.9236
2002-11,759,15.3179
2002-12,642,13.4874
2003-01,728,14.0758
2003-02,518,12.2894
2003-03,619,12.7419
2003-04,736,12.9509
2003-05,726,13.8470
2003-06,628,12.1753
2003-07,718,13.8130
2003-08,607,12.5647
2003-09,615,13.6788
2003-10,600,12.5000
2003-11,523,13.2204
2003-12,475,10.9321
2004-01,512,11.9682
2004-02,430,10.6594
2004-03,518,11.7701
2004-04,514,13.0391
2004-05,508,13.0056
2004-06,444,10.8134
2004-07,460,10.2541
2004-08,532,11.9390
2004-09,373,9.6532
2004-10,446,10.8780
2004-11,342,9.2407
2004-12,336,9.6110
2005-01,360,9.4687
2005-02,282,9.2824
2005-03,423,10.0499
2005-04,328,9.0333
2005-05,375,10.0482
2005-06,398,9.5973
2005-07,316,9.8412
2005-08,334,7.7083
2005-09,342,8.8947
2005-10,347,8.8906
2005-11,256,7.7225
2005-12,290,8.4994
2006-01,257,7.5767
2006-02,268,7.7300
2006-03,315,7.6961
2006-04,289,7.5734
2006-05,288,7.2489
2006-06,335,7.8749
2006-07,277,7.3029
2006-08,311,7.2511
2006-09,408,7.8582
2006-10,390,7.8329
2006-11,374,8.6614
2006-12,256,8.0150
2007-01,367,9.3910
2007-02,279,8.1081
2007-03,363,8.5492
2007-04,401,9.5295
2007-05,384,9.0566
2007-06,324,7.8242
2007-07,308,7.9917
2007-08,321,7.3776
2007-09,314,7.7588
2007-10,355,7.9739
2007-11,203,7.3285
2007-12,163,6.6886
2008-01,229,7.4472
2008-02,213,7.0694
2008-03,214,6.1090
2008-04,290,7.4283
2008-05,249,6.7977
2008-06,247,6.9794
2008-07,258,6.7258
2008-08,222,6.2133
2008-09,240,6.3881
2008-10,258,6.4339
2008-11,165,6.1775
2008-12,155,5.6569
2009-01,173,6.2568
2009-02,185,6.3683
2009-03,224,6.9414
2009-04,192,6.6321
2009-05,193,6.6805
2009-06,191,6.0828
2009-07,151,4.4010
2009-08,168,5.9872
2009-09,162,4.9315
2009-10,160,6.1069
2009-11,131,5.5935
2009-12,121,4.6972
2010-01,136,5.4662
2010-02,120,4.8154
2010-03,176,5.1432
2010-04,151,5.3565
2010-05,137,5.0722
2010-06,175,5.9382
2010-07,123,4.0354
2010-08,156,4.7416
2010-09,158,5.5303
2010-10,156,5.1570
2010-11,155,5.8336
2010-12,156,5.1931
2011-01,160,4.6880
2011-02,165,5.1386
2011-03,212,5.1294
2011-04,191,5.1358
2011-05,180,4.8596
2011-06,186,4.7244
2011-07,143,4.4424
2011-08,209,5.0483
2011-09,175,4.4609
2011-10,149,4.1126
2011-11,179,5.6060
2011-12,153,4.6889
2012-01,205,5.4104
2012-02,209,5.5145
2012-03,190,4.5640
2012-04,162,4.0228
2012-05,209,4.6714
2012-06,167,4.5867
2012-07,123,3.4658
2012-08,194,4.3684
2012-09,155,4.2664
2012-10,172,4.2406
2012-11,145,4.5228
2012-12,144,4.6829
2013-01,141,3.3911
2013-02,143,3.8901
2013-03,136,3.8868
2013-04,152,3.7689
2013-05,161,3.8842
2013-06,161,3.9921
2013-07,138,4.3451
2013-08,169,4.6263
2013-09,149,3.8711
2013-10,139,4.4651
2013-11,132,3.8328
2013-12,116,3.4575
2014-01,147,4.0230
2014-02,131,3.6531
2014-03,172,4.2659
2014-04,175,4.5884
2014-05,134,4.0929
2014-06,165,3.3660
2014-07,198,3.6504
2014-08,160,3.5390
2014-09,193,3.5820
2014-10,183,3.3021
2014-11,158,3.0027
2014-12,130,2.6893
2015-01,156,3.2643
2015-02,127,2.6116
2015-03,173,3.3333
2015-04,148,2.5861
2015-05,143,2.8634
2015-06,199,3.3244
2015-07,196,3.2864
